episode,reward,average_reward,epsilon,steps,loss
53,110.0,164.24528301886792,0.973841589962245,28674,0.3491
54,150.0,163.9814814814815,0.973354669167264,29209,0.2055
55,125.0,163.27272727272728,0.9728679918326804,29770,1.1084
56,210.0,164.10714285714286,0.972381557836764,30374,0.5998
57,185.0,164.47368421052633,0.9718953670578457,31074,0.1013
58,225.0,165.51724137931035,0.9714094193743169,31646,0.6680
59,105.0,164.4915254237288,0.9709237146646298,32132,0.7618
60,125.0,163.83333333333334,0.9704382528072976,32632,0.5636
61,120.0,163.11475409836066,0.9699530336808939,33098,2.9237
62,30.0,160.96774193548387,0.9694680571640535,33379,0.1239
63,150.0,160.79365079365078,0.9689833231354715,33957,0.2044
64,60.0,159.21875,0.9684988314739038,34416,0.1886
65,135.0,158.84615384615384,0.9680145820581669,34987,0.5838
66,55.0,157.27272727272728,0.9675305747671379,35368,1.2142
67,120.0,156.71641791044777,0.9670468094797544,35903,1.6837
68,160.0,156.76470588235293,0.9665632860750146,36332,0.1603
69,215.0,157.6086956521739,0.9660800044319772,36840,0.6806
70,160.0,157.64285714285714,0.9655969644297613,37314,1.1492
71,180.0,157.95774647887325,0.9651141659475465,37787,0.7599
72,65.0,156.66666666666666,0.9646316088645728,38161,0.1250
73,180.0,156.986301369863,0.9641492930601405,38655,0.6297
74,35.0,155.33783783783784,0.9636672184136105,39095,0.2216
75,210.0,156.06666666666666,0.9631853848044037,39674,0.3725
76,45.0,154.60526315789474,0.9627037921120016,39972,2.5874
77,135.0,154.35064935064935,0.9622224402159457,40492,0.1325
78,180.0,154.67948717948718,0.9617413289958378,41033,0.1034
79,105.0,154.0506329113924,0.9612604583313399,41388,0.3410
80,120.0,153.625,0.9607798281021742,41919,0.2091
81,135.0,153.39506172839506,0.9602994381881231,42478,0.4117
82,180.0,153.71951219512195,0.9598192884690291,43002,0.3599
83,160.0,153.79518072289156,0.9593393788247946,43605,0.4993
84,75.0,152.85714285714286,0.9588597091353822,44111,0.1974
85,560.0,157.64705882352942,0.9583802792808146,45100,0.2538
86,105.0,157.03488372093022,0.9579010891411742,45549,1.5773
87,170.0,157.183908045977,0.9574221385966036,46031,0.1489
88,210.0,157.7840909090909,0.9569434275273054,46735,0.4417
89,80.0,156.91011235955057,0.9564649558135419,47138,0.2510
90,75.0,156.0,0.9559867233356352,47595,0.4374
91,470.0,159.45054945054946,0.9555087299739674,48369,0.1421
92,50.0,158.2608695652174,0.9550309756089804,48761,0.0671
93,135.0,158.01075268817203,0.954553460121176,49301,0.3817
94,180.0,158.24468085106383,0.9540761833911156,49878,0.1033
95,105.0,157.68421052631578,0.95359914529942,50460,0.2514
96,180.0,157.91666666666666,0.9531223457267703,51097,0.1113
97,185.0,158.1958762886598,0.952645784553907,51632,0.2563
98,75.0,157.3469387755102,0.9521694616616301,52001,0.0557
99,105.0,156.8181818181818,0.9516933769307994,52411,0.1486
100,40.0,155.65,0.951217530242334,52824,0.6874
101,90.0,155.35,0.9507419214772129,53217,0.6511
