episode,score,clipped_reward,average_score,epsilon,steps,loss
119,155.0,10.0,147.8,0.9888,63626,0.004586
120,70.0,6.0,146.8,0.9887,64113,0.001523
121,125.0,9.0,146.9,0.9886,64511,0.001916
122,65.0,6.0,147.1,0.9885,64848,0.006456
123,365.0,14.0,149.3,0.9884,65437,0.004295
124,315.0,13.0,152.2,0.9883,65967,0.001675
125,185.0,12.0,151.9,0.9883,66466,0.002922
126,30.0,3.0,151.3,0.9882,66756,0.003368
127,135.0,9.0,151.9,0.9881,67336,0.004662
128,135.0,9.0,151.0,0.9880,67753,0.001015
129,60.0,6.0,150.6,0.9879,68116,0.002100
130,385.0,16.0,153.1,0.9878,68839,0.001484
131,75.0,5.0,146.8,0.9877,69325,0.001299
132,105.0,6.0,146.3,0.9876,69828,0.001595
133,85.0,7.0,146.1,0.9875,70196,0.005239
134,80.0,6.0,145.3,0.9874,70662,0.002134
135,105.0,8.0,145.4,0.9873,71134,0.004325
136,55.0,5.0,143.2,0.9872,71502,0.001067
137,215.0,13.0,145.3,0.9871,72131,0.006233
138,180.0,11.0,146.8,0.9870,72746,0.003508
139,225.0,14.0,147.5,0.9869,73339,0.005039
140,275.0,18.0,148.9,0.9868,74014,0.001289
141,55.0,5.0,148.4,0.9867,74427,0.002616
142,110.0,7.0,148.3,0.9866,74871,0.003727
143,155.0,10.0,148.8,0.9865,75395,0.007567
144,110.0,9.0,149.1,0.9865,75910,0.003039
145,230.0,13.0,150.6,0.9864,76491,0.002727
146,215.0,14.0,150.6,0.9863,77224,0.004313
147,55.0,5.0,149.8,0.9862,77622,0.002229
148,300.0,19.0,151.2,0.9861,78377,0.002120
149,135.0,9.0,151.5,0.9860,78806,0.001629
150,165.0,12.0,149.8,0.9859,79354,0.006526
151,210.0,12.0,150.7,0.9858,79941,0.004235
152,20.0,3.0,149.8,0.9857,80273,0.024601
153,210.0,12.0,150.4,0.9856,80868,0.004796
154,135.0,9.0,150.6,0.9855,81349,0.005897
155,105.0,6.0,151.1,0.9854,81624,0.004196
156,150.0,12.0,148.2,0.9853,82274,0.009664
157,210.0,12.0,149.4,0.9852,82822,0.004141
158,20.0,3.0,148.4,0.9851,83219,0.002746
159,160.0,10.0,148.7,0.9850,83689,0.006017
160,195.0,13.0,149.1,0.9849,84246,0.002182
161,115.0,8.0,148.9,0.9848,84628,0.004363
162,155.0,10.0,148.6,0.9847,85084,0.001324
163,225.0,14.0,146.7,0.9847,85621,0.005447
164,110.0,7.0,146.2,0.9846,86109,0.002031
165,65.0,6.0,145.6,0.9845,86492,0.001728
166,120.0,8.0,146.2,0.9844,86964,0.003229
167,80.0,6.0,145.1,0.9843,87321,0.004039
168,210.0,12.0,146.6,0.9842,87821,0.003222
169,135.0,9.0,146.9,0.9841,88331,0.004723
170,80.0,8.0,147.4,0.9840,88956,0.004583
171,120.0,8.0,147.1,0.9839,89554,0.005275
172,120.0,8.0,147.7,0.9838,89975,0.007715
173,180.0,11.0,146.9,0.9837,90703,0.003130
174,45.0,5.0,146.2,0.9836,90967,0.004014
175,180.0,11.0,147.4,0.9835,91458,0.006261
176,195.0,13.0,147.6,0.9834,92093,0.008223
177,135.0,9.0,148.2,0.9833,92652,0.004368
178,135.0,11.0,148.2,0.9832,93318,0.003310
179,410.0,13.0,151.4,0.9831,93931,0.005584
180,210.0,12.0,152.8,0.9830,94448,0.002397
181,135.0,9.0,151.8,0.9829,95059,0.004669
182,155.0,10.0,152.3,0.9829,95538,0.032848
183,285.0,8.0,154.4,0.9828,96146,0.008670
184,515.0,19.0,157.4,0.9827,96926,0.019100
185,265.0,19.0,158.8,0.9826,97623,0.004315
186,225.0,14.0,160.4,0.9825,98292,0.006930
187,110.0,7.0,159.8,0.9824,98636,0.008279
188,65.0,6.0,159.6,0.9823,98944,0.003822
189,35.0,4.0,158.8,0.9822,99243,0.003159
190,55.0,5.0,158.6,0.9821,99738,0.005219
191,395.0,17.0,160.9,0.9820,100421,0.006566
192,145.0,9.0,161.8,0.9819,100941,0.027726
193,210.0,12.0,163.3,0.9818,101586,0.009207
194,195.0,15.0,164.1,0.9817,102283,0.011869
195,200.0,13.0,164.9,0.9816,102927,0.005561
196,135.0,9.0,164.9,0.9815,103426,0.006920
197,120.0,8.0,165.8,0.9814,103929,0.003677
198,135.0,9.0,163.2,0.9813,104311,0.005335
199,120.0,8.0,162.9,0.9812,104862,0.009132
200,260.0,16.0,165.2,0.9811,105478,0.008261
201,120.0,8.0,165.2,0.9811,105860,0.012645
202,180.0,11.0,165.2,0.9810,106478,0.004007
203,155.0,10.0,162.7,0.9809,106978,0.002795
204,105.0,8.0,163.1,0.9808,107370,0.015032
205,245.0,18.0,164.7,0.9807,108201,0.004246
206,85.0,7.0,165.0,0.9806,108650,0.005720
207,330.0,20.0,166.9,0.9805,109458,0.004712
208,285.0,17.0,168.1,0.9804,110471,0.011985
209,10.0,2.0,162.7,0.9803,110736,0.009403
210,150.0,8.0,163.3,0.9802,111299,0.018660
211,55.0,5.0,158.6,0.9801,111580,0.008475
212,20.0,3.0,157.1,0.9800,111994,0.012060
213,110.0,7.0,157.3,0.9799,112513,0.003767
214,195.0,13.0,157.4,0.9798,113076,0.010690
215,30.0,4.0,155.3,0.9797,113561,0.002190
216,180.0,11.0,155.5,0.9796,114117,0.006304
217,115.0,8.0,155.6,0.9795,114542,0.003597
218,110.0,7.0,156.3,0.9794,115042,0.005445
219,90.0,7.0,155.7,0.9793,115420,0.003810
220,215.0,13.0,157.2,0.9793,116423,0.003439
221,45.0,5.0,156.3,0.9792,116704,0.007485
222,180.0,11.0,157.5,0.9791,117289,0.015975
223,185.0,13.0,155.7,0.9790,117837,0.005200
224,120.0,8.0,153.8,0.9789,118355,0.007776
225,135.0,8.0,153.2,0.9788,118910,0.002822
226,120.0,8.0,154.2,0.9787,119431,0.023478
227,215.0,13.0,154.9,0.9786,120476,0.004583
228,105.0,8.0,154.7,0.9785,120905,0.005160
229,75.0,5.0,154.8,0.9784,121200,0.005923
230,270.0,16.0,153.7,0.9783,121872,0.006611
231,125.0,8.0,154.2,0.9782,122384,0.008676
232,30.0,3.0,153.4,0.9781,122770,0.018186
233,240.0,15.0,154.9,0.9780,123269,0.003146
234,215.0,16.0,156.3,0.9779,124130,0.017337
235,460.0,17.0,159.8,0.9778,124826,0.005351
236,240.0,15.0,161.7,0.9777,125458,0.010635
237,50.0,4.0,160.1,0.9776,125761,0.002935
238,45.0,5.0,158.7,0.9775,126078,0.006828
239,80.0,7.0,157.2,0.9775,126371,0.009341
240,440.0,16.0,158.9,0.9774,127019,0.007205
241,165.0,12.0,160.0,0.9773,127805,0.003843
242,345.0,21.0,162.3,0.9772,128498,0.007560
243,80.0,7.0,161.6,0.9771,128824,0.007941
244,155.0,10.0,162.1,0.9770,129368,0.004718
245,65.0,6.0,160.4,0.9769,129750,0.009294
246,105.0,9.0,159.3,0.9768,130048,0.010785
247,185.0,12.0,160.6,0.9767,130669,0.005266
248,135.0,10.0,158.9,0.9766,131304,0.011508
249,105.0,6.0,158.7,0.9765,131704,0.009955
250,150.0,11.0,158.5,0.9764,132453,0.033616
251,175.0,12.0,158.2,0.9763,133133,0.006093
252,215.0,13.0,160.1,0.9762,133760,0.004695
253,210.0,12.0,160.1,0.9761,134440,0.004813
254,80.0,7.0,159.6,0.9760,134774,0.005202
255,110.0,7.0,159.6,0.9759,135265,0.009650
256,285.0,17.0,160.9,0.9758,135962,0.005256
257,30.0,4.0,159.2,0.9757,136356,0.003498
258,55.0,5.0,159.5,0.9757,136827,0.009520
259,110.0,7.0,159.0,0.9756,137241,0.008550
260,120.0,8.0,158.2,0.9755,137707,0.007858
